NO;pretes;postes;group;A;B;G;;;;
1;16;20;kontrol;4;54;0,074074074;;;;
2;8;5;kontrol;-3;62;-0,048387097;;;;
3;13;14;kontrol;1;57;0,01754386;;;;
4;18;12;kontrol;-6;52;-0,115384615;;;;
5;23;15;kontrol;-8;47;-0,170212766;;;;
6;20;26;kontrol;6;50;0,12;;;;
7;26;32;kontrol;6;44;0,136363636;;;;
8;29;52;kontrol;23;41;0,56097561;;;;
9;9;14;kontrol;5;61;0,081967213;;;;
10;38;32;kontrol;-6;32;-0,1875;;;;
11;7;12;kontrol;5;63;0,079365079;;;;
12;14;20;kontrol;6;56;0,107142857;;;;
13;23;31;kontrol;8;47;0,170212766;;;;
14;21;31;kontrol;10;49;0,204081633;;;;
15;15;15;kontrol;0;55;0;;;;
16;7;12;kontrol;5;63;0,079365079;;;;
17;21;38;kontrol;17;49;0,346938776;;;;
18;18;18;kontrol;0;52;0;;;;
19;18;20;kontrol;2;52;0,038461538;;;;
20;37;50;kontrol;13;33;0,393939394;;;;
21;17;26;kontrol;9;53;0,169811321;;;;
22;10;27;kontrol;17;60;0,283333333;;;;
23;16;24;kontrol;8;54;0,148148148;;;;
24;18;20;kontrol;2;52;0,038461538;;;;
25;12;21;kontrol;9;58;0,155172414;;;;
26;50;67;kontrol;17;20;0,85;;;;
27;19;25;kontrol;6;51;0,117647059;;;;
28;16;60;kontrol;44;54;0,814814815;;;;
rata2;19,25000;26,39286;;;;0,159511988;;;;
;;;;;;;;;;
1;18;51;eksperimen;33;52;0,634615385;;;;
2;17;59;eksperimen;42;53;0,79245283;;;;
3;34;70;eksperimen;36;36;1;;;;
4;6;58;eksperimen;52;64;0,8125;;;;
5;39;38;eksperimen;-1;31;-0,032258065;;;;
6;10;39;eksperimen;29;60;0,483333333;;;;
7;6;51;eksperimen;45;64;0,703125;;;;
8;26;49;eksperimen;23;44;0,522727273;;;;
9;21;61;eksperimen;40;49;0,816326531;;;;
10;15;37;eksperimen;22;55;0,4;;;;
11;19;53;eksperimen;34;51;0,666666667;;;;
12;65;70;eksperimen;5;5;1;;;;
13;20;49;eksperimen;29;50;0,58;;;;
14;13;43;eksperimen;30;57;0,526315789;;;;
15;5;38;eksperimen;33;65;0,507692308;;;;
16;23;69;eksperimen;46;47;0,978723404;;;;
17;17;40;eksperimen;23;53;0,433962264;;;;
18;15;50;eksperimen;35;55;0,636363636;;;;
19;5;43;eksperimen;38;65;0,584615385;;;;
20;9;49;eksperimen;40;61;0,655737705;;;;
21;34;42;eksperimen;8;36;0,222222222;;;;
22;14;40;eksperimen;26;56;0,464285714;;;;
23;21;61;eksperimen;40;49;0,816326531;;;;
24;13;48;eksperimen;35;57;0,614035088;;;;
25;17;51;eksperimen;34;53;0,641509434;;;;
26;19;48;eksperimen;29;51;0,568627451;;;;
27;13;40;eksperimen;27;57;0,473684211;;;;
28;27;70;eksperimen;43;43;1;;;;
;19,32142857;50,60714286;;;;0,625128218;;;;
